2025-10-01 10:24:47,688 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-03 16:00:28,241 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:00:29,305 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:00:56,569 | INFO | ConversationManager | User: cháu chào ông
2025-10-03 16:00:56,569 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:00:56,572 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:00:57,202 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 353
2025-10-03 16:00:57,204 | INFO | RAGClient | RAG reply (len=125)
2025-10-03 16:00:57,204 | INFO | ConversationManager | Bot: Chào cháu, ông là Tiến sĩ Giấy đây. Hôm nay Trung Thu ở Bảo tàng vui lắm đúng không cháu? Có gì hay ho muốn hỏi ông không nè?
2025-10-03 16:00:57,206 | DEBUG | TTSService | Starting TTS download for text length=125
2025-10-03 16:00:57,206 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:01:00,963 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:01:01,505 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:02:47,163 | INFO | ConversationManager | User: Alo ạ
2025-10-03 16:02:47,163 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:02:47,163 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:02:49,200 | WARNING | RAGClient | RAG request failed (attempt 1). Error: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000220406B3190>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-10-03 16:02:50,202 | DEBUG | RAGClient | Sending to RAG webhook (attempt 2): http://127.0.0.1:7000/chat
2025-10-03 16:02:50,202 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:02:52,241 | WARNING | RAGClient | RAG request failed (attempt 2). Error: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000220406B0350>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-10-03 16:02:54,242 | DEBUG | RAGClient | Sending to RAG webhook (attempt 3): http://127.0.0.1:7000/chat
2025-10-03 16:02:54,242 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:02:56,267 | WARNING | RAGClient | RAG request failed (attempt 3). Error: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /chat (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000220406CF490>: Failed to establish a new connection: [WinError 10061] No connection could be made because the target machine actively refused it'))
2025-10-03 16:02:59,268 | ERROR | RAGClient | RAG request failed after retries
2025-10-03 16:02:59,268 | WARNING | ConversationManager | Empty reply from RAG; using backup string
2025-10-03 16:03:09,717 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-10-03 16:03:09,717 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: hiieu/halong_embedding
2025-10-03 16:03:16,987 | INFO | faiss.loader | Loading faiss with AVX2 support.
2025-10-03 16:03:17,028 | INFO | faiss.loader | Successfully loaded faiss with AVX2 support.
2025-10-03 16:04:17,872 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-03 16:04:17,872 | DEBUG | TTSService | Playback thread started
2025-10-03 16:04:17,880 | INFO | ConversationManager | Conversation manager started. Press ENTER to record, 'q' to quit.
2025-10-03 16:04:24,021 | INFO | ConversationManager | User: alo ạ
2025-10-03 16:04:24,021 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:04:24,021 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:04:25,382 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 287
2025-10-03 16:04:25,386 | INFO | RAGClient | RAG reply (len=92)
2025-10-03 16:04:25,386 | INFO | ConversationManager | Bot: Chào cháu, ông là Tiến sĩ Giấy AI đây. Hôm nay Trung Thu ở Bảo tàng vui lắm đúng không cháu?
2025-10-03 16:04:25,386 | DEBUG | TTSService | Starting TTS download for text length=92
2025-10-03 16:04:25,386 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:04:28,832 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:04:29,123 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:04:36,100 | INFO | ConversationManager | User: cháu chào ông ạ
2025-10-03 16:04:36,100 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:04:36,104 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:04:36,944 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 236
2025-10-03 16:04:36,952 | INFO | RAGClient | RAG reply (len=68)
2025-10-03 16:04:36,952 | INFO | ConversationManager | Bot: Ôi chào cháu, cháu có câu hỏi gì về Trung Thu hay Bảo tàng không nè?
2025-10-03 16:04:36,955 | DEBUG | TTSService | Starting TTS download for text length=68
2025-10-03 16:04:36,955 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:04:40,542 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:06,982 | INFO | ConversationManager | User: ông ơi ông có biết cách làm đèn ông sao không ạ
2025-10-03 16:05:06,982 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:05:06,982 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:05:10,102 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 1352
2025-10-03 16:05:10,103 | INFO | RAGClient | RAG reply (len=592)
2025-10-03 16:05:10,104 | INFO | ConversationManager | Bot: Ồ, ông vừa tra mạng xong thì thấy có nói về đèn ông sao đó cháu. Đèn ông sao là loại đèn lồng phổ biến và mang tính biểu tượng nhất, có hình ngôi sao 5 cánh. Hình ảnh ngôi sao 5 cánh được bao bọc bởi vòng tròn tượng trưng cho Ngũ hành âm dương, thể hiện sự cân bằng và hài hòa giữa các mối quan hệ trong cuộc sống, giữa con người với vạn vật. Đèn ông sao là biểu tượng của ánh sáng, niềm vui và hy vọng, là món đồ chơi không thể thiếu trong các buổi rước đèn. Tuy nhiên, ông chưa tìm thấy chi tiết cách làm đèn ông sao ở đây. Cháu có muốn ông tìm hiểu thêm về các loại đèn lồng khác không nè?
2025-10-03 16:05:10,104 | DEBUG | TTSService | Starting TTS download for text length=592
2025-10-03 16:05:10,104 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:05:12,560 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:12,686 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:05:15,214 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:15,304 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:05:18,398 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:18,695 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:18,791 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:05:23,103 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:23,519 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:23,599 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:05:26,121 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:05:26,416 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:05,239 | INFO | ConversationManager | User: ồ tiếc quá ạ
2025-10-03 16:06:05,245 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:06:05,245 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:06:06,152 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 407
2025-10-03 16:06:06,152 | INFO | RAGClient | RAG reply (len=149)
2025-10-03 16:06:06,152 | INFO | ConversationManager | Bot: Ôi tiếc quá, ông chưa nhớ ra cách làm đèn ông sao. Để mai ông tra mạng thêm xem sao nhé. Cháu có muốn nghe ông kể về các loại đèn lồng khác không nè?
2025-10-03 16:06:06,156 | DEBUG | TTSService | Starting TTS download for text length=149
2025-10-03 16:06:06,156 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:06:09,085 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:09,909 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:40,194 | INFO | ConversationManager | User: thế ông có biết sự tích đèn kéo quân không ạ
2025-10-03 16:06:40,194 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
2025-10-03 16:06:40,194 | DEBUG | urllib3.connectionpool | Starting new HTTP connection (1): 127.0.0.1:7000
2025-10-03 16:06:42,601 | DEBUG | urllib3.connectionpool | http://127.0.0.1:7000 "POST /chat HTTP/1.1" 200 1183
2025-10-03 16:06:42,609 | INFO | RAGClient | RAG reply (len=493)
2025-10-03 16:06:42,609 | INFO | ConversationManager | Bot: Ồ, ông vừa tra mạng xong thì thấy có kể về sự tích đèn kéo quân đó cháu. Ngày xưa, có một chàng trai tên là Lục Đức đã làm ra chiếc đèn kéo quân đẹp nhất để dâng vua. Chiếc đèn này có trục quay ở giữa tượng trưng cho trục trái đất, 6 mặt đèn diễn tả một trận đánh thắng quân thù. Khi đốt lên, đèn quay và hiện ra hình ảnh vua, quan, người, ngựa chạy nối nhau trông rất ngộ nghĩnh. Từ đó, người ta gọi là đèn kéo quân đó cháu. Cháu có muốn nghe ông kể thêm về cấu tạo của đèn kéo quân không nè?
2025-10-03 16:06:42,609 | DEBUG | TTSService | Starting TTS download for text length=493
2025-10-03 16:06:42,609 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:06:44,923 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:45,025 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:06:47,892 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:48,192 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:48,283 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:06:51,266 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:51,684 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:51,782 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:06:54,652 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:55,264 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:06:55,364 | DEBUG | asyncio | Using proactor: IocpProactor
2025-10-03 16:06:57,338 | DEBUG | pydub.converter | subprocess.call(['ffmpeg', '-y', '-f', 'mp3', '-read_ahead_limit', '-1', '-i', 'cache:pipe:0', '-acodec', 'pcm_s16le', '-vn', '-f', 'wav', '-'])
2025-10-03 16:22:07,906 | DEBUG | datasets | PyTorch version 2.8.0+cpu available.
2025-10-03 16:22:10,279 | INFO | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-10-03 16:22:10,279 | INFO | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: hiieu/halong_embedding
2025-10-03 16:22:10,300 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): huggingface.co:443
2025-10-03 16:22:14,449 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/modules.json HTTP/1.1" 307 0
2025-10-03 16:22:14,915 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/modules.json HTTP/1.1" 200 0
2025-10-03 16:22:16,067 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-10-03 16:22:17,089 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/config_sentence_transformers.json HTTP/1.1" 200 0
2025-10-03 16:22:19,877 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/config_sentence_transformers.json HTTP/1.1" 307 0
2025-10-03 16:22:19,927 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/config_sentence_transformers.json HTTP/1.1" 200 0
2025-10-03 16:22:20,233 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/README.md HTTP/1.1" 307 0
2025-10-03 16:22:20,708 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/README.md HTTP/1.1" 200 0
2025-10-03 16:22:21,600 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/modules.json HTTP/1.1" 307 0
2025-10-03 16:22:21,667 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/modules.json HTTP/1.1" 200 0
2025-10-03 16:22:23,842 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/sentence_bert_config.json HTTP/1.1" 307 0
2025-10-03 16:22:25,787 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/sentence_bert_config.json HTTP/1.1" 200 0
2025-10-03 16:22:26,698 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/adapter_config.json HTTP/1.1" 404 0
2025-10-03 16:22:27,598 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/config.json HTTP/1.1" 307 0
2025-10-03 16:22:27,863 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/config.json HTTP/1.1" 200 0
2025-10-03 16:22:29,029 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/tokenizer_config.json HTTP/1.1" 307 0
2025-10-03 16:22:29,251 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/tokenizer_config.json HTTP/1.1" 200 0
2025-10-03 16:22:31,883 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /hiieu/halong_embedding/resolve/main/1_Pooling/config.json HTTP/1.1" 307 0
2025-10-03 16:22:32,043 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "HEAD /api/resolve-cache/models/hiieu/halong_embedding/b57776031035f70ed2030d2e35ecc533eb0f8f71/1_Pooling%2Fconfig.json HTTP/1.1" 200 0
2025-10-03 16:22:32,662 | DEBUG | urllib3.connectionpool | https://huggingface.co:443 "GET /api/models/hiieu/halong_embedding HTTP/1.1" 200 6377
2025-10-03 16:22:32,677 | DEBUG | faiss.loader | Environment variable FAISS_OPT_LEVEL is not set, so let's pick the instruction set according to the current CPU
2025-10-03 16:22:32,678 | INFO | faiss.loader | Loading faiss with AVX2 support.
2025-10-03 16:22:33,343 | INFO | faiss.loader | Successfully loaded faiss with AVX2 support.
2025-10-03 16:23:11,284 | INFO | WhisperSTT | WhisperSTT client initialized. Calling localhost ASR service.
2025-10-03 16:23:11,286 | DEBUG | TTSService | Playback thread started
2025-10-03 16:23:11,286 | INFO | ConversationManager | Conversation manager started. Press ENTER to record, 'q' to quit.
2025-10-03 16:23:21,303 | INFO | ConversationManager | User: alo ạ
2025-10-03 16:23:21,304 | DEBUG | RAGClient | Sending to RAG webhook (attempt 1): http://127.0.0.1:7000/chat
